global_step,local_step,pkl_format,demo_scale_source,demo_pos_scale,demo_rot_scale,current_pos_scale,current_rot_scale,raw_action_min,raw_action_max,action_changed_by_safety,intervention_overrode_action,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_6_desc,prev_gripper_feedback,next_gripper_feedback,delta_gripper_feedback,prev_gripper_state,next_gripper_state,prev_hw_gripper_cmd_right,next_hw_gripper_cmd_right,prev_hw_gripper_cmd_left,next_hw_gripper_cmd_left,refresh_success,refresh_source,reward,done,truncated
44,44,legacy_list,manual,0.018,0.05,0.018,0.05,-0.21442607045173645,0.058485403656959534,False,False,0.058485403656959534,-0.12639164924621582,-0.21442607045173645,-0.15110506117343903,-0.028393762186169624,-0.015078475698828697,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
45,45,legacy_list,manual,0.018,0.05,0.018,0.05,-0.1876726895570755,0.05909883603453636,False,False,0.05909883603453636,-0.0726713091135025,-0.1876726895570755,-0.056053806096315384,-0.023964157328009605,-0.016574643552303314,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
46,46,legacy_list,manual,0.018,0.05,0.018,0.05,-0.1383034735918045,0.08754432946443558,False,False,0.08754432946443558,-0.0575333870947361,-0.1383034735918045,-0.03336277976632118,-0.043998684734106064,-0.011370190419256687,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
47,47,legacy_list,manual,0.018,0.05,0.018,0.05,-0.2029910832643509,0.07502073049545288,False,False,0.07502073049545288,-0.019229121506214142,-0.2029910832643509,-0.015368634834885597,-0.032318346202373505,-0.016066456213593483,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
48,48,legacy_list,manual,0.018,0.05,0.018,0.05,-0.22937938570976257,0.03358970209956169,False,False,0.03358970209956169,-0.06925398111343384,-0.22937938570976257,-0.0810067430138588,0.030841685831546783,-0.01119838748127222,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
49,49,legacy_list,manual,0.018,0.05,0.018,0.05,-0.15263259410858154,0.0699162483215332,False,False,0.0699162483215332,-0.018594995141029358,-0.15263259410858154,-0.024357207119464874,0.004279813729226589,-0.018364161252975464,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
50,50,legacy_list,manual,0.018,0.05,0.018,0.05,-0.2156471312046051,0.05250365287065506,False,False,0.0312642939388752,-0.01415775902569294,-0.2156471312046051,-0.018603889271616936,0.05250365287065506,-0.02261033095419407,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
51,51,legacy_list,manual,0.018,0.05,0.018,0.05,-0.2028445452451706,0.08101016283035278,False,False,0.08101016283035278,0.0026805533561855555,-0.2028445452451706,-0.008324673399329185,0.03403938561677933,-0.016510067507624626,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
52,52,legacy_list,manual,0.018,0.05,0.018,0.05,-0.1802990883588791,0.06723570078611374,False,False,0.06723570078611374,0.04812247306108475,-0.1802990883588791,0.056976187974214554,0.03723037242889404,-0.02487916313111782,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
53,53,legacy_list,manual,0.018,0.05,0.018,0.05,-0.06205671653151512,0.07124990224838257,False,False,0.07124990224838257,0.01646578311920166,-0.06205671653151512,0.009916103444993496,-0.020459577441215515,0.001594044268131256,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
